              X,              Y,
1.75000000e-001,-4.43265992e+005,
3.50000000e-001,-4.43257896e+005,
5.25000000e-001,-4.43241054e+005,
7.00000000e-001,-4.43209175e+005,
8.75000000e-001,-4.43160141e+005,
1.05000000e+000,-4.43092945e+005,
1.22500000e+000,-4.43006543e+005,
1.40000000e+000,-4.42899827e+005,
1.57500000e+000,-4.42771684e+005,
1.75000000e+000,-4.42620986e+005,
1.92500000e+000,-4.42446568e+005,
2.10000000e+000,-4.42247212e+005,
2.27500000e+000,-4.42021645e+005,
2.45000000e+000,-4.41768534e+005,
2.62500000e+000,-4.41486477e+005,
2.80000000e+000,-4.41174005e+005,
2.97500000e+000,-4.40829577e+005,
3.15000000e+000,-4.40451572e+005,
3.32500000e+000,-4.40038292e+005,
3.50000000e+000,-4.39587953e+005,
3.67500000e+000,-4.39098684e+005,
3.85000000e+000,-4.38568520e+005,
4.02500000e+000,-4.37995402e+005,
4.20000000e+000,-4.37377168e+005,
4.37500000e+000,-4.36711552e+005,
4.55000000e+000,-4.35996176e+005,
4.72500000e+000,-4.35228548e+005,
4.90000000e+000,-4.34406055e+005,
5.07500000e+000,-4.33525961e+005,
5.25000000e+000,-4.32585398e+005,
5.42500000e+000,-4.31581361e+005,
5.60000000e+000,-4.30510704e+005,
5.77500000e+000,-4.29370133e+005,
5.95000000e+000,-4.28156199e+005,
6.12500000e+000,-4.26865295e+005,
6.30000000e+000,-4.25493647e+005,
6.47500000e+000,-4.24037310e+005,
6.65000000e+000,-4.22492157e+005,
6.82500000e+000,-4.20853881e+005,
7.00000000e+000,-4.19117980e+005,
7.17500000e+000,-4.17279755e+005,
7.35000000e+000,-4.15334302e+005,
7.52500000e+000,-4.13276504e+005,
7.70000000e+000,-4.11101028e+005,
7.87500000e+000,-4.08802320e+005,
8.05000000e+000,-4.06374598e+005,
8.22500000e+000,-4.03811847e+005,
8.40000000e+000,-4.01107802e+005,
8.57500000e+000,-3.98255954e+005,
8.75000000e+000,-3.95249552e+005,
8.92500000e+000,-3.92081592e+005,
9.10000000e+000,-3.88744815e+005,
9.27500000e+000,-3.85231709e+005,
9.45000000e+000,-3.81534502e+005,
9.62500000e+000,-3.77645161e+005,
9.80000000e+000,-3.73555401e+005,
9.97500000e+000,-3.69256687e+005,
1.01500000e+001,-3.64740239e+005,
1.03250000e+001,-3.59997042e+005,
1.05000000e+001,-3.55017854e+005,
1.06750000e+001,-3.49793219e+005,
1.08500000e+001,-3.44313489e+005,
1.10250000e+001,-3.38568838e+005,
1.12000000e+001,-3.32549295e+005,
1.13750000e+001,-3.26244764e+005,
1.15500000e+001,-3.19645061e+005,
1.17250000e+001,-3.12739962e+005,
1.19000000e+001,-3.05519243e+005,
1.20750000e+001,-2.97972740e+005,
1.22500000e+001,-2.90090409e+005,
1.24250000e+001,-2.81862401e+005,
1.26000000e+001,-2.73279143e+005,
1.27750000e+001,-2.64331436e+005,
1.29500000e+001,-2.55010562e+005,
1.31250000e+001,-2.45308401e+005,
1.33000000e+001,-2.35217573e+005,
1.34750000e+001,-2.24731592e+005,
1.36500000e+001,-2.13845042e+005,
1.38250000e+001,-2.02553775e+005,
1.40000000e+001,-1.90855127e+005,
1.41750000e+001,-1.78748161e+005,
1.43500000e+001,-1.66233953e+005,
1.45250000e+001,-1.53315887e+005,
1.47000000e+001,-1.40000000e+005,
1.48750000e+001,-1.26295371e+005,
1.50500000e+001,-1.12214531e+005,
1.52250000e+001,-9.77739255e+004,
1.54000000e+001,-8.29944368e+004,
1.55750000e+001,-6.79019573e+004,
1.57500000e+001,-5.25280092e+004,
1.59250000e+001,-3.69104414e+004,
1.61000000e+001,-2.10941829e+004,
1.62750000e+001,-5.13207240e+003,
1.64500000e+001,1.09142415e+004,
1.66250000e+001,2.69733199e+004,
1.68000000e+001,4.29628930e+004,
1.69750000e+001,5.87887335e+004,
1.71500000e+001,7.43434585e+004,
1.73250000e+001,8.95052696e+004,
1.75000000e+001,1.04136731e+005,
1.76750000e+001,1.18083551e+005,
1.78500000e+001,1.31173425e+005,
1.80250000e+001,1.43215091e+005,
1.82000000e+001,1.53997750e+005,
1.83750000e+001,1.63291060e+005,
1.85500000e+001,1.70846028e+005,
1.87250000e+001,1.76397240e+005,
1.89000000e+001,1.79667056e+005,
1.90750000e+001,1.80372570e+005,
1.92500000e+001,1.78236307e+005,
1.94250000e+001,1.73001941e+005,
1.96000000e+001,1.64456324e+005,
1.97750000e+001,1.52459080e+005,
1.99500000e+001,1.36980461e+005,
2.01250000e+001,1.18147071e+005,
2.03000000e+001,9.62928001e+004,
2.04750000e+001,7.20091382e+004,
2.06500000e+001,4.61843294e+004,
2.08250000e+001,2.00157698e+004,
2.10000000e+001,-5.02428850e+003,
2.11750000e+001,-2.72896580e+004,
2.13500000e+001,-4.51406269e+004,
2.15250000e+001,-5.71981991e+004,
2.17000000e+001,-6.26370308e+004,
2.18750000e+001,-6.14467298e+004,
2.20500000e+001,-5.45659186e+004,
2.22250000e+001,-4.37985465e+004,
2.24000000e+001,-3.14736327e+004,
2.25750000e+001,-1.99059195e+004,
2.27500000e+001,-1.08205850e+004,
2.29250000e+001,-4.96159219e+003,
2.31000000e+001,-2.05510401e+003,
2.32750000e+001,-1.14486774e+003,
2.34500000e+001,-1.12799567e+003,
2.36250000e+001,-1.21625680e+003,
2.38000000e+001,-1.11076155e+003,
2.39750000e+001,-8.72985869e+002,
2.41500000e+001,-6.62162502e+002,
2.43250000e+001,-5.49508201e+002,
2.45000000e+001,-4.99812887e+002,
2.46750000e+001,-4.54316235e+002,
2.48500000e+001,-3.94839602e+002,
2.50250000e+001,-3.37767738e+002,
2.52000000e+001,-2.96431327e+002,
2.53750000e+001,-2.66058629e+002,
2.55500000e+001,-2.37200712e+002,
2.57250000e+001,-2.08515125e+002,
2.59000000e+001,-1.83577334e+002,
2.60750000e+001,-1.63140068e+002,
2.62500000e+001,-1.45026180e+002,
2.64250000e+001,-1.28159071e+002,
2.66000000e+001,-1.13146183e+002,
