              X,              Y,
0.00000000e+000,-2.05745776e+001,
1.75000000e-001,-2.09214247e+001,
3.50000000e-001,-2.05660489e+001,
5.25000000e-001,-2.01578535e+001,
7.00000000e-001,-1.97986821e+001,
8.75000000e-001,-1.94491184e+001,
1.05000000e+000,-1.90959246e+001,
1.22500000e+000,-1.87409129e+001,
1.40000000e+000,-1.83858677e+001,
1.57500000e+000,-1.80311026e+001,
1.75000000e+000,-1.76766439e+001,
1.92500000e+000,-1.73224435e+001,
2.10000000e+000,-1.69685891e+001,
2.27500000e+000,-1.66150797e+001,
2.45000000e+000,-1.62619251e+001,
2.62500000e+000,-1.59090972e+001,
2.80000000e+000,-1.55566422e+001,
2.97500000e+000,-1.52045444e+001,
3.15000000e+000,-1.48528112e+001,
3.32500000e+000,-1.45014231e+001,
3.50000000e+000,-1.41504005e+001,
3.67500000e+000,-1.37996933e+001,
3.85000000e+000,-1.34493604e+001,
4.02500000e+000,-1.30993783e+001,
4.20000000e+000,-1.27497196e+001,
4.37500000e+000,-1.24003964e+001,
4.55000000e+000,-1.20514099e+001,
4.72500000e+000,-1.17027503e+001,
4.90000000e+000,-1.13544140e+001,
5.07500000e+000,-1.10064242e+001,
5.25000000e+000,-1.06587347e+001,
5.42500000e+000,-1.03113562e+001,
5.60000000e+000,-9.96428961e+000,
5.77500000e+000,-9.61751760e+000,
5.95000000e+000,-9.27106255e+000,
6.12500000e+000,-8.92488328e+000,
6.30000000e+000,-8.57899536e+000,
6.47500000e+000,-8.23338595e+000,
6.65000000e+000,-7.88806083e+000,
6.82500000e+000,-7.54299724e+000,
7.00000000e+000,-7.19818688e+000,
7.17500000e+000,-6.85362191e+000,
7.35000000e+000,-6.50930194e+000,
7.52500000e+000,-6.16523710e+000,
7.70000000e+000,-5.82139081e+000,
7.87500000e+000,-5.47777592e+000,
8.05000000e+000,-5.13437218e+000,
8.22500000e+000,-4.79113444e+000,
8.40000000e+000,-4.44808729e+000,
8.57500000e+000,-4.10524509e+000,
8.75000000e+000,-3.76258279e+000,
8.92500000e+000,-3.42007940e+000,
9.10000000e+000,-3.07772856e+000,
9.27500000e+000,-2.73550912e+000,
9.45000000e+000,-2.39339933e+000,
9.62500000e+000,-2.05139941e+000,
9.80000000e+000,-1.70950414e+000,
9.97500000e+000,-1.36768858e+000,
1.01500000e+001,-1.02594273e+000,
1.03250000e+001,-6.84257027e-001,
1.05000000e+001,-3.42574685e-001,
1.06750000e+001,-9.43297533e-004,
1.08500000e+001,3.40668099e-001,
1.10250000e+001,6.82329235e-001,
1.12000000e+001,1.02400872e+000,
1.13750000e+001,1.36573758e+000,
1.15500000e+001,1.70753037e+000,
1.17250000e+001,2.04945056e+000,
1.19000000e+001,2.39143688e+000,
1.20750000e+001,2.73357294e+000,
1.22500000e+001,3.07586670e+000,
1.24250000e+001,3.41834441e+000,
1.26000000e+001,3.76100954e+000,
1.27750000e+001,4.10390822e+000,
1.29500000e+001,4.44708054e+000,
1.31250000e+001,4.79050683e+000,
1.33000000e+001,5.13426530e+000,
1.34750000e+001,5.47833962e+000,
1.36500000e+001,5.82276847e+000,
1.38250000e+001,6.16760799e+000,
1.40000000e+001,6.51287425e+000,
1.41750000e+001,6.85856884e+000,
1.43500000e+001,7.20475878e+000,
1.45250000e+001,7.55145279e+000,
1.47000000e+001,7.89867766e+000,
1.48750000e+001,8.24645611e+000,
1.50500000e+001,8.59486487e+000,
1.52250000e+001,8.94387738e+000,
1.54000000e+001,9.29353898e+000,
1.55750000e+001,9.64385474e+000,
1.57500000e+001,9.99487905e+000,
1.59250000e+001,1.03465954e+001,
1.61000000e+001,1.06990055e+001,
