              X,              Y,
5.25000000e-001,1.25695088e-001,
7.00000000e-001,1.24166286e-001,
8.75000000e-001,1.22653997e-001,
1.05000000e+000,1.21133875e-001,
1.22500000e+000,1.19597562e-001,
1.40000000e+000,1.18039397e-001,
1.57500000e+000,1.16455705e-001,
1.75000000e+000,1.14843859e-001,
1.92500000e+000,1.13202293e-001,
2.10000000e+000,1.11530875e-001,
2.27500000e+000,1.09826896e-001,
2.45000000e+000,1.08090306e-001,
2.62500000e+000,1.06320298e-001,
2.80000000e+000,1.04515471e-001,
2.97500000e+000,1.02675080e-001,
3.15000000e+000,1.00798655e-001,
3.32500000e+000,9.88848715e-002,
3.50000000e+000,9.69330032e-002,
3.67500000e+000,9.49416209e-002,
3.85000000e+000,9.29106745e-002,
4.02500000e+000,9.08385095e-002,
4.20000000e+000,8.87239296e-002,
4.37500000e+000,8.65662096e-002,
4.55000000e+000,8.43642273e-002,
4.72500000e+000,8.21167281e-002,
4.90000000e+000,7.98226602e-002,
5.07500000e+000,7.74809573e-002,
5.25000000e+000,7.50901739e-002,
5.42500000e+000,7.26491106e-002,
5.60000000e+000,7.01565234e-002,
5.77500000e+000,6.76111586e-002,
5.95000000e+000,6.50113173e-002,
6.12500000e+000,6.23559859e-002,
6.30000000e+000,5.96433250e-002,
6.47500000e+000,5.68719778e-002,
6.65000000e+000,5.40406349e-002,
6.82500000e+000,5.11473778e-002,
7.00000000e+000,4.81906692e-002,
7.17500000e+000,4.51689826e-002,
7.35000000e+000,4.20804485e-002,
7.52500000e+000,3.89232213e-002,
7.70000000e+000,3.56953442e-002,
7.87500000e+000,3.23952495e-002,
8.05000000e+000,2.90207284e-002,
8.22500000e+000,2.55697860e-002,
8.40000000e+000,2.20403075e-002,
8.57500000e+000,1.84301862e-002,
8.75000000e+000,1.47371229e-002,
8.92500000e+000,1.09588568e-002,
9.10000000e+000,7.09298635e-003,
9.27500000e+000,3.13706355e-003,
9.45000000e+000,-9.11467552e-004,
9.62500000e+000,-5.05521767e-003,
9.80000000e+000,-9.29695566e-003,
9.97500000e+000,-1.36394481e-002,
1.01500000e+001,-1.80856310e-002,
1.03250000e+001,-2.26385305e-002,
1.05000000e+001,-2.73011516e-002,
1.06750000e+001,-3.20769307e-002,
1.08500000e+001,-3.69691679e-002,
1.10250000e+001,-4.19811317e-002,
1.12000000e+001,-4.71167091e-002,
1.13750000e+001,-5.23795703e-002,
1.15500000e+001,-5.77735757e-002,
1.17250000e+001,-6.33025377e-002,
1.19000000e+001,-6.89712399e-002,
1.20750000e+001,-7.47835684e-002,
1.22500000e+001,-8.07442166e-002,
1.24250000e+001,-8.68579035e-002,
